Pc1.A,Pc1.R,Pc1.N,Pc1.D,Pc1.C,Pc1.E,Pc1.Q,Pc1.G,Pc1.H,Pc1.I,Pc1.L,Pc1.K,Pc1.M,Pc1.F,Pc1.P,Pc1.S,Pc1.T,Pc1.W,Pc1.Y,Pc1.V,Pc2.Hydrophobicity.1,Pc2.Hydrophilicity.1,Pc2.Hydrophobicity.2,Pc2.Hydrophilicity.2,Pc2.Hydrophobicity.3,Pc2.Hydrophilicity.3,Pc2.Hydrophobicity.4,Pc2.Hydrophilicity.4,Pc2.Hydrophobicity.5,Pc2.Hydrophilicity.5,Pc2.Hydrophobicity.6,Pc2.Hydrophilicity.6,Pc2.Hydrophobicity.7,Pc2.Hydrophilicity.7,Pc2.Hydrophobicity.8,Pc2.Hydrophilicity.8,Pc2.Hydrophobicity.9,Pc2.Hydrophilicity.9,Pc2.Hydrophobicity.10,Pc2.Hydrophilicity.10,Pc2.Hydrophobicity.11,Pc2.Hydrophilicity.11,Pc2.Hydrophobicity.12,Pc2.Hydrophilicity.12,Pc2.Hydrophobicity.13,Pc2.Hydrophilicity.13,Pc2.Hydrophobicity.14,Pc2.Hydrophilicity.14,Pc2.Hydrophobicity.15,Pc2.Hydrophilicity.15,Pc2.Hydrophobicity.16,Pc2.Hydrophilicity.16,Pc2.Hydrophobicity.17,Pc2.Hydrophilicity.17,Pc2.Hydrophobicity.18,Pc2.Hydrophilicity.18,Pc2.Hydrophobicity.19,Pc2.Hydrophilicity.19,Pc2.Hydrophobicity.20,Pc2.Hydrophilicity.20,Pc2.Hydrophobicity.21,Pc2.Hydrophilicity.21,Pc2.Hydrophobicity.22,Pc2.Hydrophilicity.22,Pc2.Hydrophobicity.23,Pc2.Hydrophilicity.23,Pc2.Hydrophobicity.24,Pc2.Hydrophilicity.24,Pc2.Hydrophobicity.25,Pc2.Hydrophilicity.25,Pc2.Hydrophobicity.26,Pc2.Hydrophilicity.26,Pc2.Hydrophobicity.27,Pc2.Hydrophilicity.27,Pc2.Hydrophobicity.28,Pc2.Hydrophilicity.28,Pc2.Hydrophobicity.29,Pc2.Hydrophilicity.29,Pc2.Hydrophobicity.30,Pc2.Hydrophilicity.30,Class
42.56014387,2.969312363,21.77495733,17.81587418,9.897707877,9.897707877,10.88747867,40.5806023,4.948853939,12.86702024,13.85679103,11.87724945,3.959083151,4.948853939,12.86702024,56.4169349,27.71358206,5.938624726,16.82610339,32.662436,0.00187871,0.002116845,0.00487951,0.001128288,0.001766543,-0.001689781,5.80E-05,-0.003827237,0.00218268,-0.00103179,0.001792759,-0.000747384,0.00192621,-0.000344089,0.002069489,-0.000255245,0.00059113,-2.27E-06,0.001337376,0.001855064,0.00092525,0.001222459,0.000868298,-0.000420174,-0.001267356,-0.000866858,0.002122772,0.001575426,-0.001434001,-0.001149339,0.001345763,-0.000737017,-9.42E-06,-0.000825306,0.000509498,-0.001219063,-0.000404267,-0.000973845,-0.000260992,-0.000104627,0.003040545,0.002356028,-0.002575466,-0.003088854,0.000135351,-0.000989525,-0.003880072,-0.001093742,0.000345028,-0.000275668,0.001460054,0.002571984,0.000630551,0.001334523,-0.001315477,-0.00238375,0.000136124,-0.001857256,0.001353885,-0.000257028,Negative
6.236726122,3.563843498,8.909608746,9.800569621,6.236726122,3.563843498,4.454804373,10.6915305,6.236726122,7.127686997,19.60113924,9.800569621,10.6915305,6.236726122,2.672882624,17.81921749,9.800569621,6.236726122,8.909608746,9.800569621,0.006901386,0.003716823,0.002459042,0.004664477,0.002757453,0.00427712,0.004620006,0.002578032,0.00378121,0.003669744,0.00708841,0.004989839,0.002665097,-0.000297617,0.001685454,0.004132421,0.005719353,0.005267747,0.00567585,0.001852489,0.006421829,0.005815997,0.00309327,0.001282753,0.002826617,-0.000997705,0.003575055,0.004475268,0.002274705,0.002054908,0.001577284,0.004810232,-0.001178085,-0.000280958,-0.001257211,-0.000777823,-0.000634607,-0.001256386,0.005805999,0.004583896,-0.000327029,-0.002269421,-0.004350661,-0.003657946,0.002963942,0.000572451,0.002369067,0.001426863,0.000554099,0.001502196,0.00176641,0.003935557,-0.003947719,-0.002914562,-0.003917224,0.000750401,-0.001724497,-0.004671739,0.000197038,0.000362528,Negative
42.55206918,8.325404839,17.57585466,21.27603459,18.50089964,28.67639445,45.32720412,59.20287886,7.400359857,34.22666434,15.7257647,37.92684427,4.625224911,19.42594462,70.30341864,51.802519,120.2558477,4.625224911,8.325404839,47.17729409,0.001598493,0.001214144,-7.70E-05,0.001566471,-0.000147163,-0.001069817,0.002105271,0.001568665,0.002161958,-2.49E-05,0.004630601,0.002628227,0.00222514,0.002095495,0.000746005,0.000884405,-0.00068029,-0.001043353,0.000905912,0.001353454,0.00102531,0.001577584,0.002024068,0.001872907,0.002941219,0.001790745,0.001275833,0.00176159,0.000178564,7.60E-05,0.001975388,0.001235199,0.00066275,0.000658856,0.004759996,0.003365396,0.000752967,0.000238804,0.000741881,-4.28E-05,0.000822791,-0.000459603,0.000139608,0.001496273,0.000916438,0.000398948,0.003119053,0.003850597,0.000975552,0.000692661,0.002567783,0.002428669,-0.00078315,-0.002948318,-0.000546003,0.000462893,0.002612793,0.002522047,0.002574708,0.002597326,Positive
2.642083897,4.403473162,7.045557059,5.284167794,0.880694632,13.21041949,11.44903022,3.52277853,0.880694632,5.284167794,14.97180875,11.44903022,3.52277853,3.52277853,4.403473162,7.926251692,7.926251692,0,1.761389265,5.284167794,-0.001815873,0.003912896,0.000194588,0.001503842,0.003009014,0.00580954,0.006472623,0.008283119,-0.006423444,-0.005012918,-0.003827507,-0.000830742,0.006794704,0.008410031,-0.002858257,0.000115718,0.000419945,0.000978333,-0.001760386,-0.000954981,0.00342583,0.007859136,-0.001293933,-0.001540229,0.002830188,-7.03E-05,0.006874075,0.009448993,-0.00600079,0.001038223,9.05E-05,0.004006642,-0.000774394,-0.000194858,0.008878771,0.011121331,-0.002393361,0.004156093,0.004766511,0.004851336,-0.001830314,0.003094019,0.009009276,0.009187582,-0.006422965,-0.000333557,-0.004856545,-0.001597869,-0.001923925,0.005298706,0.002209226,0.001366312,0.002688985,0.007386073,0.000848452,0.00436232,0.002965439,0.002145272,0.003753394,0.002455408,Negative
52.56579726,45.6231448,30.74603236,47.60675979,10.90988245,28.76241737,35.70506984,32.72964735,18.84434242,31.73783986,66.4511022,25.78699488,8.92626746,32.72964735,29.75422487,55.54121975,51.57398977,9.918074956,26.77880238,38.68049233,-0.001843996,-0.000530028,-0.003862223,-0.003976749,0.002489819,0.001036555,0.000963185,0.001309142,-0.004134742,-0.000975244,-0.00011589,-0.000162013,0.002480427,0.00260628,0.002399429,0.002077249,-0.003559068,-0.001683986,-0.001620303,0.000795399,0.003341087,0.003382023,0.002067832,-0.000199534,-0.000564562,-0.002509584,-1.16E-05,0.000875953,0.001325876,0.001333369,0.000799277,-0.000508125,-0.00099002,-0.001337887,-0.003964272,-0.001565263,0.003829202,0.00331073,0.000763747,0.000821834,-0.002269816,0.001009072,0.000371717,-0.00037538,0.004036391,0.003813838,0.001023268,0.000489916,-0.000449474,0.001363281,-0.001570118,-9.16E-05,-0.000951688,0.001525208,0.002346183,0.001049783,0.000388291,0.002242099,-0.00525958,-0.004392261,Negative
8.000916769,13.00148975,27.0030941,25.0028649,8.000916769,20.00229192,17.00194813,24.00275031,8.000916769,27.0030941,33.00378167,37.00424006,8.000916769,26.0029795,16.00183354,42.00481304,23.00263571,5.000572981,18.00206273,30.00343788,-0.004538068,-0.004582605,-0.000385627,0.002234751,0.000424615,0.000541783,-0.001222335,-0.002741266,0.000478256,-0.000524113,0.000318595,0.001889276,-0.003002219,-0.00242344,-0.002764364,-0.000502808,-0.000375582,-0.001205484,0.000454358,0.001805166,0.001799887,0.002990051,0.003262331,0.005738173,-0.000343229,0.001496335,-0.001511095,0.001705406,0.00209345,0.001129337,-0.001144073,-0.003104179,-0.000152334,0.002605231,0.000507447,0.000775828,-0.003885191,-0.00227191,-0.00232381,-0.003494788,-0.001027981,0.000295434,0.001401732,0.001136983,0.001661133,0.001257378,-0.005100631,-0.002497276,0.000918456,0.000278841,0.003950908,0.002360676,0.001564588,0.003893326,0.000410038,-0.000358913,-0.002052064,0.000359601,0.001030769,0.000650652,Negative
31.27753559,23.64886837,40.43193625,25.17460182,0.762866722,60.26647101,26.70033526,19.07166804,6.865800495,25.17460182,57.21500413,54.92640396,9.917267382,9.917267382,8.391533939,50.34920363,26.70033526,2.288600165,16.78306788,22.12313493,-0.001008202,0.001651903,0.002675093,0.004999313,0.00364719,0.008319788,0.003885306,0.004295122,0.00039622,0.003520476,-0.000450216,0.002996501,0.005436159,0.01103544,0.002124015,0.006111367,0.002982445,0.004329024,0.003591144,0.008217469,0.003162784,0.004907063,0.000651449,0.00327169,0.001846926,0.00651924,0.004386341,0.009352535,-0.000235576,0.002915783,0.002345382,0.00477259,0.003086798,0.005467185,0.001934429,0.00702689,0.00058037,0.002993115,0.003817792,0.006711702,0.005144711,0.00945286,0.001051427,0.002517919,0.00322031,0.0070212,0.002675946,0.005113962,0.002321495,0.006763783,0.001426635,0.006109679,0.00111479,0.003280016,0.004553308,0.007409859,0.002884553,0.004505279,0.002003322,0.004292176,Negative
9.536139069,11.26998254,44.21300841,42.47916495,1.733843467,36.41071281,35.54379108,20.80612161,7.802295602,39.01147801,50.28146055,55.48299095,7.802295602,23.40688681,22.53996507,58.95067788,41.61224321,2.600765201,16.47151294,18.20535641,0.000504111,0.003298833,-0.004390346,-0.00149076,0.003393366,0.006110929,0.004189411,0.008558532,-0.000192438,0.001109467,-0.001626039,0.001970281,0.002778483,0.003441058,0.001241152,0.001826862,-0.002479112,-0.000607842,0.001735151,0.00529879,0.003694555,0.006953166,-0.001344093,0.000807536,-0.001271925,-1.51E-05,0.00643002,0.008937505,0.004269643,0.00576048,0.00039296,0.002254686,-0.001118833,0.000907678,0.002807814,0.006383666,0.002233239,0.003278549,-0.003628928,-0.001118398,0.000285874,0.003475328,0.000393235,0.002037638,-0.000579641,0.003252792,0.00085872,0.003940708,0.001542922,0.004025654,0.000991728,0.002816744,0.002510912,0.004749268,0.001054889,0.003320202,0.002183051,0.004948645,0.004491821,0.005493676,Negative
41.50503387,19.30466692,51.15736732,24.13083364,0.965233346,27.99176703,70.46203424,29.92223372,17.37420022,33.7831671,48.26166729,28.95700037,12.54803349,24.13083364,31.85270041,42.47026721,47.29643394,0.965233346,26.06130034,35.71363379,-0.00157178,-0.002580491,-0.001527688,-0.002755179,0.002642046,0.004489529,0.003279458,0.001390535,0.002051085,0.000737989,-0.001731602,-0.00117561,0.001310488,0.002773862,0.001591405,6.60E-05,0.000808648,-0.00061865,0.001506545,0.001486243,0.003989045,0.003899125,-0.000895549,0.00093082,0.000135916,-0.00181084,0.002994835,0.003687199,-0.001163348,0.001028469,-0.003728499,-0.001561621,-0.000178879,0.000255811,0.001322971,0.001010832,-0.002627459,-0.000280711,-0.001184942,-0.001378386,-0.001499306,-0.000657373,0.002197729,0.003354237,0.001118583,0.002805293,0.001186563,0.000707073,-2.95E-05,0.002227635,0.000210644,0.00076456,-0.000455931,-0.001125179,0.002712056,0.002223964,0.000907381,0.002426621,-0.000900938,-2.50E-05,Negative
12.73592005,3.918744631,20.57340931,17.63435084,7.837489261,13.71560621,8.817175419,18.614037,1.959372315,26.45152626,21.55309547,4.898430788,2.939058473,9.796861577,21.55309547,58.78116946,53.88273867,0.979686158,17.63435084,26.45152626,-2.27E-05,0.000923085,-0.001683261,-0.000466267,-0.0001243,-0.000404422,-0.000935714,-0.000380109,0.003552433,0.000610148,0.000212528,-0.002618394,-0.000563108,-0.00080967,0.002617595,0.000617418,-0.000296803,-0.002184199,0.003062298,0.00246385,0.001230968,0.000247053,0.003062227,0.000285591,-0.001351772,-0.000647479,-0.000771882,-0.002228709,0.002142404,6.19E-06,-0.001843377,-0.00301929,-0.000293888,0.000304398,0.002633575,0.001498803,-0.001795626,-0.00411359,0.002522041,0.001862774,0.001686656,0.002071446,0.001955132,0.000377504,0.002037946,-0.000315431,0.000121242,-0.000738441,0.001106817,0.001615381,-0.000755732,-0.002264189,0.000385989,-0.000737996,0.002264928,0.003128543,0.000665723,-0.000566247,0.00379448,0.001179284,Positive
12.69410698,3.90587907,18.55292558,7.81175814,1.952939535,14.64704651,7.81175814,6.835288372,3.90587907,14.64704651,17.57645581,16.59998605,3.90587907,6.835288372,9.764697675,16.59998605,10.74116744,1.952939535,6.835288372,11.71763721,0.003545847,0.004218933,0.002633429,0.002833144,-0.00067332,6.71E-05,-0.007695595,-0.006761619,-0.003753504,-0.001746146,-0.000689272,-0.000627572,0.000326215,-0.000200621,-0.0024407,0.000299743,0.003229839,0.003485049,0.002037957,0.004717427,0.002399787,0.00471508,0.001872023,0.002043493,-0.001164183,-0.002765971,-0.003907178,-0.003559998,-0.007264612,-0.003249752,-0.000100821,0.005579339,-0.001770579,-0.000732915,0.003941633,0.004231461,0.001836674,0.002769168,0.002896258,0.002451267,0.000130351,0.002555843,0.002091753,0.005199642,-0.005035178,0.000539009,-0.001245183,-0.000119186,0.000739985,-0.00217888,0.000369489,0.001392955,0.00076343,0.005069039,0.002594706,0.004382253,-0.000790911,-0.001702919,-0.00262626,-0.001626174,Negative
15.52427616,11.38446919,9.314565698,13.45437267,3.104855233,15.52427616,9.314565698,6.209710465,7.24466221,18.6291314,27.94369709,16.55922791,5.174758721,9.314565698,8.279613954,16.55922791,7.24466221,2.069903488,5.174758721,15.52427616,0.002254986,0.001202783,-0.005060853,-0.001886258,0.002364734,0.005739458,-5.45E-06,-0.001723576,0.00607525,0.002443245,-0.007358362,-0.003196436,-0.002500523,0.001628868,-0.001566466,-0.001375121,-0.003389534,-0.002924012,-0.005406302,-0.006488838,-0.003672114,-0.004514401,-0.006827737,-0.007306289,-0.003451732,-0.003765669,0.0016134,0.00452809,0.004973895,0.005664695,0.009907747,0.007376688,-0.007387797,-0.002933285,0.001036191,-1.46E-05,0.006531475,0.010048188,0.00059039,0.004921341,-0.000262474,0.002777515,-0.000834629,0.00239541,0.003380463,0.004655446,-0.002194138,-0.005104175,0.005639946,0.003337575,-0.005340016,-0.001879908,-0.008982149,-0.006649373,-0.007619181,-0.00527878,-0.001368836,-0.004985057,-0.001505432,-0.001279999,Positive
44.97159461,38.41323706,56.21449326,40.2870535,6.558357547,45.90850283,31.85487951,39.35014528,18.73816442,37.47632884,59.96212614,32.79178773,14.05362331,38.41323706,59.02521792,108.6813536,65.58357547,0.936908221,29.04415485,48.71922749,-0.001472811,-0.000975397,-0.00257124,-0.001816686,-0.000124435,0.001633388,-0.000418736,-0.001242642,0.000435994,0.003121913,0.002741655,0.001986979,0.00346083,0.003488012,0.001338748,0.001180356,-0.001003146,0.000731427,0.000380038,0.000567383,0.00113878,0.001092284,0.001008522,0.001222193,-0.000103761,0.000755216,0.001638561,0.002347028,-0.000403186,0.001695903,0.003140364,0.001540321,6.10E-05,0.000662312,0.002534524,0.001983024,-0.000942081,0.001201583,-0.001211653,-0.000142268,0.003140188,0.002017846,0.001243727,0.000597614,0.001164992,0.003193735,0.000279024,0.000745105,0.001724539,0.00335554,0.002564946,0.003323743,0.000323586,0.00250405,0.000562774,0.000471383,-0.000415804,0.000152623,0.002427485,0.003054354,Negative
110.9063065,49.59225089,41.47715529,48.6905736,1.803354578,69.42915125,87.46269703,77.54424685,9.918450179,37.87044614,56.8056692,47.78889632,26.14864138,36.06709156,119.9230794,73.9375377,51.39560547,8.115095601,19.83690036,62.21573294,0.00205845,0.004710019,0.000992613,0.003179778,0.002146457,0.003716658,0.000100135,0.000801522,0.00199223,0.003729988,9.01E-05,0.002020287,-0.000741707,0.002264995,0.002813436,0.003402291,0.001694023,0.004306426,0.001488266,0.003449164,0.000569926,0.002570865,0.002698125,0.00500615,-0.002630271,0.000699837,-0.000578306,0.001914553,-0.001559979,0.002240426,-4.69E-05,0.002517393,0.001315029,0.003930956,0.000399542,0.003068565,-8.78E-05,0.003476022,0.001260958,0.002796851,0.000282888,0.003413078,0.001452509,0.001560051,-0.000866167,0.000318685,-0.000463296,0.003139053,-0.002024263,0.000149015,-0.001228942,0.001854919,0.001301084,0.004279603,9.90E-05,0.002213757,-3.42E-05,0.002810134,0.001804459,0.004484251,Negative
1.845317202,8.303927407,8.303927407,0.922658601,4.613293004,1.845317202,3.690634403,2.767975802,3.690634403,5.535951605,18.45317202,5.535951605,1.845317202,9.226586008,4.613293004,9.226586008,2.767975802,0.922658601,2.767975802,7.381268807,-0.001142394,-0.002260519,0.001306969,-0.001117913,-0.000347015,0.000768713,0.000644237,0.00471319,-0.002747772,0.000798057,0.002243262,0.000183059,0.004168877,-0.000624303,0.003662462,0.002529982,0.016697546,0.008275726,-0.005319269,-0.003436817,0.007777228,0.004452925,0.008238998,0.004455216,-0.004926022,-0.001594416,-0.003501851,0.000951726,-0.001834007,-0.000907719,0.001109645,-0.001718577,0.002135677,0.001031597,0.010292123,0.00526639,-0.001198604,-0.002498127,0.006710039,0.002905145,-0.002150958,-0.001669235,-0.002233589,0.000101207,-0.004986394,-0.003627977,0.001331992,0.002297572,-0.001817942,0.001191584,0.006560041,0.00369327,0.008739398,0.000858258,-0.000848602,-0.002398117,0.010320526,0.00643166,-0.007313727,-0.003281034,Negative
9.889816955,7.829438423,4.532832771,13.59849831,0.412075706,15.65887685,6.593211303,8.653589836,2.884529945,3.708681358,7.829438423,30.49360228,1.236227119,3.708681358,2.884529945,13.18642261,11.53811978,1.236227119,0.412075706,5.76905989,0.008489396,0.013471592,0.007300584,0.01394497,0.007423247,0.013346914,0.006335535,0.012812798,0.008239297,0.016150547,0.009078755,0.014918863,0.008333759,0.014221815,0.005575981,0.012467716,0.006584824,0.013145265,0.007574137,0.013758631,0.007630301,0.014991601,0.00791574,0.012922993,0.00607453,0.012254003,0.007195704,0.013554295,0.006342128,0.012591533,0.006432202,0.013014267,0.006074612,0.012332141,0.006302427,0.012043137,0.004753186,0.01177286,0.005534984,0.011731915,0.007752383,0.013497831,0.005824598,0.011661407,0.006793549,0.012961518,0.006110369,0.011486685,0.006043951,0.012607585,0.004966961,0.012670864,0.004950003,0.011296729,0.005799498,0.011822291,0.005566511,0.012277513,0.006217896,0.012976968,Negative
111.5339115,25.59794689,45.71061945,31.08322123,4.571061945,62.16644245,150.8450442,26.51215928,20.11267256,30.16900884,64.90907962,30.16900884,13.71318584,10.05633628,61.25223007,63.08065484,53.93853095,9.14212389,29.25479645,39.31113273,-0.001662884,0.00116005,0.000878648,-0.00178127,0.001304226,0.004192016,0.005330689,0.003933385,-0.000107161,-0.000799959,0.003419534,0.003385853,0.00282085,0.004670939,-0.000155027,-0.000504839,-6.32E-05,0.000770016,0.002755949,0.004556169,-0.001396528,0.000717584,-0.000535031,-0.002759212,-0.000510755,0.002079325,0.003220382,0.004383206,-0.002569741,-0.000890883,0.001243861,0.000427429,0.001048216,0.004129945,0.003050512,0.002954181,-0.000724224,7.67E-05,0.002079317,0.001926653,-0.000635353,0.003014802,0.000895086,0.000267559,0.00061545,0.00315856,0.004841142,0.004649747,-0.000380553,0.001227354,-0.000401027,0.000584095,0.000582103,0.003757978,0.002495721,0.002167921,-0.0005463,-3.39E-05,0.003991827,0.003480452,Negative
58.96202996,0,5.7060029,10.46100532,11.4120058,48.50102465,18.06900918,39.9420203,1.902000967,22.8240116,7.608003866,14.26500725,1.902000967,4.755002417,85.5900435,76.08003866,142.6500725,0.951000483,16.16700822,53.25602707,0.002702094,0.000212945,0.001137133,-0.000176564,0.000604309,4.03E-05,-0.001693657,-0.000670802,0.001184629,-0.000791707,0.003160643,0.004793198,0.001037908,0.000322433,0.001118985,-0.000285751,0.002675554,0.002139391,0.000135297,-0.002163361,0.001152107,0.00159733,0.00355109,0.004755919,0.000961595,0.000466983,0.000745997,0.000440649,0.000246648,0.000178067,-0.000806716,-0.001990582,-0.000905828,-0.000479515,0.001384602,0.003304603,0.000966059,-0.000838894,0.002901948,0.002309025,0.001716878,0.001545754,0.001179635,0.000289514,0.001147011,0.000607069,0.002237627,0.00392123,0.000143743,-0.00210626,0.000671792,0.000414856,0.000208916,0.0012894,-2.60E-05,-0.001312086,0.000379834,-0.000740538,0.001314208,0.000692938,Positive
